GaiaEDR3,Teff,logY
905650346067635968,39177,-3.1
907043904040453376,,
907253154847553664,,
907291264093243520,35063,-1.08
907472438698078080,,
908462445838873216,,
908526118730334592,32573,-2.23
908784126005604096,45800,1.8
908939363303653888,,
909317797165729024,23067,-3.54
910825369342312320,37800,-3.7
911400237829555968,,
911460333011690240,,
911573758803336960,31426,-2.19
912215529997328128,,
912843969612934144,,
913941247857411840,37305,-0.84
914500864915422848,49800,-1.3
914518865122887296,,
914715578920042624,51758,1.55
915056977280708096,,
915244306574180608,,
915310139832816256,,
915423316515904384,,
915655313468830464,,
915859960070594176,35100,-2.15
916789979404687232,,
919963474904219776,30190,-0.94
920284807177472896,,
921064055980216320,35719,-1.55
921531554580422016,45319,3.0
922207131460711040,23961,-2.22
922816638858835456,,
923332863865099008,,
923342347152856576,79971,0.68
923503803562868608,31930,-3.02
923580185261224576,71110,1.38
924315758539966848,,
924366542234146176,,
924844967231016832,29489,-3.23
925982721247295488,26083,-1.92
926098612348662144,,
926148365250203776,34234,-1.0
927227948229851392,27217,-2.3
927906346903424768,38887,-0.15
929315680292689024,,
930163614211158528,29900,-2.7
930769616916994048,25300,-3.0
930960515328049536,30588,-2.76
931348922106072704,24911,-3.02
931348922106072704,23030,-2.7
932581646439511040,,
933799149409100160,27035,-1.2
935406944646293376,34900,-1.6
935412270405847424,,
936745874930443648,31300,-3.3
937248901501446272,26956,-2.69
937565831431448192,34033,-1.44
938737498511006592,31094,-1.91
939393979967463424,30463,-3.02
939579041518246272,35165,-1.54
939731083360302336,,
940053927462368000,19296,-2.05
940739915343553664,26220,-0.48
940834164104723584,29187,-2.57
942463434178440576,26624,-3.15
943173001432279040,49288,1.38
943819308110646144,36631,-1.5
944002617314641152,34688,-2.32
944205747793275904,34200,-2.9
944352498234800640,29300,-2.8
944390774983674496,33238,-2.06
944892878136403712,29658,-2.44
945758945404830464,56397,-1.34
946065369848575872,31197,-3.14
946335952787500672,,
946428174325145856,41486,2.0
946854063282879488,,
948264290024452224,,
948386297158860416,27700,-2.6
948653787722982528,,
948767385313600128,39563,0.2
948799026336534784,,
949159185114192384,,
949617548319629824,53461,-2.98
950627174872167808,65080,0.08
951027770765501568,32601,-1.98
953141929764017408,39180,1.96
955354555180532608,57286,0.5
958032042088084992,36835,-1.43
958990197753107968,,
960904069540367232,37664,-1.49
962289729067881344,30474,-3.35
963014096776916096,37682,-1.66
963326637253435904,55258,1.15
963881581386403072,28090,-3.04
964071899977558784,29789,-2.93
964250914214814336,,
964655770715798656,24912,-0.41
965066369588651648,,
968154867688361856,28435,-3.06
968469534172491648,28031,-2.68
969542451362654976,51581,1.37
970006166095484928,30148,-3.37
973652013509753600,47570,1.82
975769054429737728,26691,-2.7
976789229421149312,36265,-2.01
978878919990057472,22616,-2.77
981727582818800128,67230,-0.25
982573588295764480,35368,-1.88
982729822026188928,30044,-3.08
983606751269099904,46607,1.81
983992164455024512,32808,-2.59
985850201666717312,33470,-1.93
986254272189606656,29896,-2.49
986377726730567424,20919,-4.1
986474685615378816,23668,-3.5
988226280654466048,26173,-3.76
988436459174352512,39970,-3.16
992534888766785024,30400,-2.66
993122779593859584,30991,-2.67
993265067567138432,34363,-2.45
995383482875359744,33056,-2.09
995594898345623168,25821,-2.35
997207297787944064,30353,-2.48
999261490450160512,30365,-2.39
999870589829357056,49001,-2.11
1000059052992002688,,
1002864074658491648,28400,-2.7
1003095045116459136,,
1007272536467408384,,
1007738557598844544,,
1008543468830111744,35641,-2.7
1008782681328282112,36846,-1.78
1009066351031309184,,
1009088517358697088,39500,0.2
1010137412795938304,,
1011312137890506752,37057,-1.05
1014464819980119808,,
1019305621784503296,36668,-1.8
1020514122502061184,36117,-1.1
1021347419172729600,,
1021542891724288128,38183,-1.7
1021648582279419648,47202,-0.54
1021818521250329600,35948,-1.51
1021985681376882432,,
1023900519533114112,,
1024971684376022528,61609,-1.11
1025428703255751680,20573,-4.06
1026844633714419584,27305,-1.43
1026904557098086400,,
1028172255349636608,,
1028374599849118976,,
1030011914397749504,,
1031108642886941952,,
1031713889677183360,,
1032088994940884224,,
1032444373419317376,53287,2.0
1033125971844774016,,
1036366228316289792,,
1037325964528524288,,
1038180422502734848,,
1039246845702047360,69329,-0.35
1040155596358316160,28800,-2.7
1042053692729514368,43629,3.0
1042158494227683072,,
1042992576876145152,34530,-1.0
1043176057879022336,48000,-1.7
1043623765270391296,,
1046356292182823296,,
1048462471130020224,,
1048868435734395648,33277,
1050240385727919872,,
1050794569651819648,,
1052433323014200064,28288,-2.15
1053635986871988096,57000,0.95
1055274529779478400,,
1056973962438877312,27899,-2.0
1057384290730245632,,
1059785555405762432,46000,0.5
1060739892843538944,,
1063290867195382784,,
1063343849911907968,,
1063572032933888256,27700,-2.6
1063845021055181440,30500,-3.0
1069105290840804480,34833,-1.5
1069916966644504064,,
1073281476521799296,46750,0.45
1075984763296931456,,
1079203033831536000,,
1079494159598957952,36030,-2.22
1081928684501959552,40034,-1.4
1086079547054989184,30588,-2.61
1086478463617600256,48400,0.04
1087311897726839808,,
1088594031363950592,,
1090955885420336128,,
1094879011629873920,24600,-2.4
1097050512732828416,,
1099334782499029120,28750,-2.76
1102107819544067456,30200,-2.6
1102523434939248896,44368,1.3
1104129443470311808,,
1104578903208628864,,
1106364196558262144,38237,-0.5
1109216024779190016,38576,-0.21
1109356620531902464,45163,-2.59
1109419365711469952,33482,-4.29
1112369149249621504,51993,0.69
1112369836444375808,43200,0.74
1115380294984840704,,
1120795222249055488,,
1120888401563022720,,
1123423639154702464,,
1126589201849910656,35370,-1.73
1126837931996134656,,
1128175247373543168,27600,-2.7
1132110502568387968,27960,-2.89
1133031618434371072,,
1133844535484817152,,
1135587497636732672,58000,1.0
1136783049029916288,,
1137558307806394240,,
1140110304357829504,,
1142701823200960512,37056,-1.5
1142767759538804608,27800,-3.8
1143749073667258240,24825,-3.0
1144974578159253632,61860,-2.9
1145233586163217664,,
1148897085890918528,,
1153270668268806784,,
1153541251207993984,,
1154161513205594112,39878,0.06
1154251157762577792,,
1155001746247388800,30879,-2.68
1155513912507348992,,
1155663858405475584,33400,-3.0
1155678053273092992,35187,-1.8
1155791990165521920,36061,-2.1
1156446951202413184,,
1156587791770877568,,
1156712831153662464,,
1156815699914792192,,
1157530283689218688,21156,-2.14
1158169989002659200,51497,0.65
1158231905250926208,39566,1.78
1158603540181651072,,
1158672259658553600,,
